index,code,token,lstm_surp,mean_rt,entropy,entred,rt_spill_over,rt_spill_over_inc_unk,ngram_surp,gru_surp,tanh_surp,count,log_freq,len
0,17000,In,5.506053447723389,380.27529411764704,9.515584945678713,0.0,,335.85058823529414,4.57937,19.886150360107425,9.196771621704102,1739,3.2402995820027125,2
13,17002,County,12.51424789428711,296.0429411764705,6.056061744689941,1.810062885284424,,481.85,12.6541,31.107187271118164,14.011380195617676,72,1.8573324964312685,6
14,17004,near,13.308076858520508,403.5535294117647,8.64018726348877,0.0,306.0758823529412,306.0758823529412,12.2238,27.88298225402832,13.445120811462402,109,2.037426497940624,4
21,17005,the,1.6626734733581543,306.0758823529412,7.87093448638916,0.7692527770996094,289.0482352941176,289.0482352941176,1.98095,6.454599857330322,4.269806385040283,41100,4.613841821876069,3
462,17006,River,17.830991744995117,289.0482352941176,11.037001609802246,0.0,,321.79058823529414,15.709,28.763896942138672,15.237339973449709,27,1.4313637641589874,5
467,17008,there,13.02434253692627,346.30529411764707,8.804840087890625,0.5763740539550781,306.6311764705883,306.6311764705883,11.7415,32.77854919433594,10.289356231689451,710,2.8512583487190755,5
472,17009,is,2.341245651245117,306.6311764705883,4.669997215270996,4.134842872619629,281.77647058823527,281.77647058823527,2.90521,20.991235733032227,6.9329118728637695,6938,3.841234295506041,2
488,17010,a,2.099515676498413,281.77647058823527,6.831155300140381,0.0,258.03647058823526,258.03647058823526,2.35382,1.5400549173355105,5.70707893371582,19284,4.2851971228109695,1
645,17011,quiet,10.690210342407228,258.03647058823526,10.346101760864258,0.0,298.04352941176467,298.04352941176467,13.3316,19.551624298095703,14.981348037719728,33,1.5185139398778875,5
646,17012,little,11.689720153808594,298.04352941176467,10.95159149169922,0.0,292.3229411764706,292.3229411764706,6.60724,66.9668960571289,11.652446746826172,283,2.45178643552429,6
653,17013,suburb,13.163521766662598,292.3229411764706,11.064837455749512,0.0,335.39294117647063,335.39294117647063,15.866,15.783974647521973,17.03257179260254,8,0.9030899869919435,6
654,17014,by,7.506709575653076,335.39294117647063,3.454224109649658,7.610613346099853,262.9494117647059,262.9494117647059,8.07692,15.444215774536133,7.761186122894287,4495,3.6527296960692475,2
22,17015,the,1.7976386547088623,262.9494117647059,8.37455940246582,0.0,243.0141176470588,243.0141176470588,2.89443,7.364940166473389,4.269806385040283,41100,4.613841821876069,3
688,17016,name,11.023736953735352,243.0141176470588,11.124564170837402,0.0,244.76882352941172,244.76882352941172,10.902,53.57969665527344,13.239997863769531,127,2.103803720955957,4
691,17017,of,2.489831924438477,244.76882352941172,5.441444873809815,5.683119297027588,,306.2676470588235,2.17943,12.951519966125488,5.1755690574646,22921,4.360233561157832,2
905,17019,which,11.66736888885498,527.0388235294117,8.893893241882324,0.1137256622314453,324.44176470588235,324.44176470588235,15.7846,20.99580192565918,8.887901306152344,2218,3.3459615418131414,5
921,17020,means,10.663047790527344,324.44176470588235,9.456927299499512,0.0,,321.3405882352941,9.16165,51.23410415649414,13.49420166015625,115,2.060697840353612,5
692,17022,of,5.511377334594727,310.26529411764704,10.428020477294922,0.0,,487.5917647058823,5.83894,13.112716674804688,5.1755690574646,22921,4.360233561157832,2
922,17025,none,16.001657485961914,377.0558823529412,8.374571800231934,1.019611358642578,269.1035294117647,269.1035294117647,14.4954,24.80990982055664,14.97641944885254,34,1.5314789170422551,4
693,17026,of,2.160531044006348,269.1035294117647,4.813167095184326,3.5614047050476074,256.2182352941177,256.2182352941177,1.78988,13.122624397277832,5.1755690574646,22921,4.360233561157832,2
23,17027,the,1.6510562896728516,256.2182352941177,7.451969623565674,0.0,264.6788235294118,264.6788235294118,1.1459,7.285616874694824,4.269806385040283,41100,4.613841821876069,3
924,17028,residents,14.406627655029297,264.6788235294118,10.898690223693848,0.0,326.9576470588235,326.9576470588235,15.1267,80.53076171875,14.322813987731934,56,1.7481880270062005,9
925,17029,realize,14.180843353271484,326.9576470588235,6.193317890167236,4.705372333526611,299.5382352941176,299.5382352941176,14.82,21.64043617248535,14.83312702178955,38,1.5797835966168101,7
24,17030,the,2.3901350498199463,299.5382352941176,7.642464637756348,0.0,268.4082352941176,268.4082352941176,7.00778,7.287041664123535,4.269806385040283,41100,4.613841821876069,3
927,17031,influence,11.881874084472656,268.4082352941176,11.367462158203123,0.0,296.78470588235297,296.78470588235297,12.7837,25.203857421875,14.575425148010254,49,1.6901960800285136,9
928,17032,their,11.86904525756836,296.78470588235297,6.2621002197265625,5.1053619384765625,296.2417647058824,296.2417647058824,11.4865,26.786426544189453,9.452130317687988,1678,3.2247919564926817,5
951,17033,town,13.084811210632324,296.2417647058824,11.679082870483398,0.0,361.4358823529412,361.4358823529412,14.1052,21.476003646850582,14.57127857208252,50,1.6989700043360187,4
956,17034,has,7.337877750396728,361.4358823529412,6.605806350708008,5.073276519775391,266.3805882352941,266.3805882352941,9.00298,11.49203872680664,8.107470512390137,3303,3.518908573691414,3
963,17035,had,7.287591457366943,266.3805882352941,7.942057132720947,0.0,256.7835294117647,256.7835294117647,6.59105,32.97781753540039,9.521439552307127,1765,3.2467447097238415,3
1043,17036,on,7.618955135345459,256.7835294117647,9.27821159362793,0.0,285.1605882352941,285.1605882352941,12.8607,14.418992042541504,7.477917671203613,5145,3.7113853790984517,2
1096,17037,American,11.54800510406494,285.1605882352941,7.144397258758545,2.1338143348693848,348.18470588235294,348.18470588235294,12.1547,56.77838134765625,10.489705085754396,580,2.7634279935629373,8
1101,17038,military,11.427464485168455,348.18470588235294,9.737676620483398,0.0,,302.5558823529412,10.5408,52.88027191162109,12.688227653503418,132,2.12057393120585,8
1104,17040,or,7.162635803222656,369.60823529411766,5.287583827972412,4.976719379425049,260.2647058823529,260.2647058823529,8.48984,28.584991455078125,8.77347469329834,2500,3.3979400086720375,2
25,17041,the,3.7887465953826895,260.2647058823529,11.21800708770752,0.0,249.57823529411763,249.57823529411763,5.36467,7.580853462219238,4.269806385040283,41100,4.613841821876069,3
1118,17042,deeds,18.69261360168457,249.57823529411763,11.30433464050293,0.0,290.52941176470586,290.52941176470586,18.1069,17.250429153442383,19.005006790161133,2,0.3010299956639812,5
694,17043,of,1.7230325937271118,290.52941176470586,5.061010360717773,6.243324279785156,,245.77705882352944,2.96339,13.177467346191406,5.1755690574646,22921,4.360233561157832,2
1119,17045,that,7.819105625152588,270.42294117647054,8.644380569458008,0.2813968658447265,247.6382352941177,247.6382352941177,7.2376,8.450817108154297,7.062049388885498,7992,3.902655475217926,4
1173,17046,have,6.882690906524658,247.6382352941177,9.403098106384276,0.0,271.3376470588235,271.3376470588235,6.52668,27.44764709472656,8.507259368896484,3042,3.4831592097169795,4
1200,17047,been,1.6772751808166504,271.3376470588235,7.0494256019592285,2.353672504425049,319.1605882352941,319.1605882352941,2.63539,21.57560157775879,9.297747611999512,1581,3.198931869932209,4
1229,17048,done,8.810994148254395,319.1605882352941,10.455931663513184,0.0,281.86823529411765,281.86823529411765,9.81912,27.164968490600582,13.010991096496582,118,2.0718820073061255,4
1231,17049,in,3.5437347888946533,281.86823529411765,4.016367435455322,6.439564228057861,245.4405882352941,245.4405882352941,3.70415,1.7904669046401978,5.850780963897705,15175,4.181128699747295,2
1365,17050,its,6.436832427978516,245.4405882352941,8.043609619140625,0.0,,239.4935294117647,6.28193,17.101865768432617,7.832204341888428,3584,3.5543680009900878,3
1377,17052,The,3.103843927383423,300.72764705882355,9.515584945678713,0.0,274.9164705882353,274.9164705882353,2.68215,56.074493408203125,7.581467151641846,6829,3.834357112718405,3
1427,17053,cry,17.04175567626953,274.9164705882353,11.167587280273438,0.0,,493.40529411764703,17.7505,13.432387351989746,16.538217544555664,5,0.6989700043360189,3
1431,17056,from,7.361648559570312,356.94529411764705,10.210860252380373,0.0522165298461914,273.3517647058824,273.3517647058824,7.06961,19.11900520324707,8.200828552246094,4459,3.6492374723496073,4
26,17057,the,1.8385183811187744,273.3517647058824,8.30671501159668,1.904145240783692,265.3017647058824,265.3017647058824,1.75654,6.505074501037598,4.269806385040283,41100,4.613841821876069,3
1458,17058,lips,15.5247802734375,265.3017647058824,11.188040733337402,0.0,253.22411764705885,253.22411764705885,16.9599,29.240184783935547,18.10230827331543,4,0.6020599913279624,4
695,17059,of,0.0415348336100578,253.22411764705885,0.337814599275589,10.850226134061812,247.4129411764706,247.4129411764706,3.96339,13.12477207183838,5.1755690574646,22921,4.360233561157832,2
489,17060,a,4.091999530792236,247.4129411764706,8.708788871765137,0.0,307.34235294117644,307.34235294117644,5.0337,1.2940876483917236,5.70707893371582,19284,4.2851971228109695,1
1459,17061,charging,17.48607635498047,307.34235294117644,10.819473266601562,0.0,,346.47941176470584,15.8519,102.79212951660156,16.181537628173828,28,1.4471580313422192,8
1460,17064,was,8.304306030273438,291.204705882353,8.827384948730469,0.8656787872314453,274.834705882353,274.834705882353,8.22744,12.911194801330566,7.677361965179443,3901,3.5911759503117913,3
27,17065,the,4.457789897918701,274.834705882353,9.764912605285645,0.0,243.74,243.74,3.35473,6.812512397766113,4.269806385040283,41100,4.613841821876069,3
1567,17066,last,8.63395881652832,243.74,10.766449928283691,0.0,258.34352941176473,258.34352941176473,7.72655,9.240222930908203,9.79061508178711,1040,3.0170333392987803,4
1572,17067,sound,13.941466331481934,258.34352941176473,8.181925773620605,2.584524154663086,250.1764705882353,250.1764705882353,15.661,23.70694160461425,14.840132713317873,37,1.568201724066995,5
1573,17068,heard,18.437721252441406,250.1764705882353,9.16323184967041,0.0,288.1482352941177,288.1482352941177,14.4516,22.157121658325195,15.051104545593262,35,1.5440680443502757,5
1044,17069,on,5.239626884460449,288.1482352941177,6.21777868270874,2.94545316696167,274.4364705882353,274.4364705882353,7.98529,13.802578926086426,7.477917671203613,5145,3.7113853790984517,2
1578,17070,this,7.692483901977539,274.4364705882353,7.667385578155518,0.0,296.5311764705882,296.5311764705882,7.34095,45.75308990478516,9.143404960632324,1899,3.2785249647370174,4
1593,17071,earth,15.756973266601562,296.5311764705882,10.037650108337402,0.0,266.5064705882353,266.5064705882353,17.7285,15.48879051208496,16.676664352416992,11,1.0413926851582251,5
655,17072,by,8.291378021240234,266.5064705882353,4.554941177368164,5.482708930969238,288.9194117647059,288.9194117647059,7.95239,15.202820777893066,7.761186122894287,4495,3.6527296960692475,2
1594,17073,untold,18.54474258422852,288.9194117647059,8.542720794677734,0.0,324.6235294117647,324.6235294117647,17.9163,18.707252502441406,18.933916091918945,2,0.3010299956639812,6
1595,17074,numbers,11.415345191955566,324.6235294117647,9.158723831176758,0.0,311.3388235294118,311.3388235294118,13.729,19.644540786743164,13.921717643737791,67,1.8260748027008264,7
696,17075,of,5.486225128173828,311.3388235294118,3.8089115619659424,5.349812269210815,,288.5094117647059,5.32752,12.602877616882324,5.1755690574646,22921,4.360233561157832,2
1596,17077,Sioux,18.121591567993164,500.07117647058817,8.029897689819336,1.146829605102539,363.69235294117647,363.69235294117647,17.3111,17.46464729309082,18.04944229125977,4,0.6020599913279624,5
1597,17078,and,4.97519588470459,363.69235294117647,10.13562297821045,0.0,,378.90705882352944,6.68245,10.009376525878906,5.797372817993164,16115,4.207230309848353,3
1786,17080,Mexican,16.038795471191406,377.6035294117647,7.661472797393799,2.929325580596924,,332.72235294117644,15.7486,20.71075439453125,16.15193748474121,17,1.2304489213782739,7
1787,17082,under,11.546119689941406,419.49764705882353,4.328453063964844,6.59088134765625,,360.5817647058824,10.466,39.47271347045898,10.789912223815918,533,2.7267272090265724,5
1799,17085,Japanese,18.89505386352539,429.9058823529412,4.20202112197876,3.1651930809021,286.3717647058824,286.3717647058824,13.3111,45.00553894042969,17.145864486694336,443,2.6464037262230695,8
1232,17086,in,5.878751754760742,286.3717647058824,9.59421443939209,0.0,268.2917647058824,268.2917647058824,10.4552,2.199751615524292,5.850780963897705,15175,4.181128699747295,2
