code,token,surp,mean_rt,entropy,entred,rt_spill_over,rt_spill_over_inc_unk
17000,In,5.506053447723389,380.27529411764704,9.515584945678713,0.0,,335.85058823529414
17002,County,12.51424789428711,296.04294117647055,6.056061744689941,1.810062885284424,,481.84999999999997
17004,near,13.308076858520508,403.5535294117647,8.64018726348877,0.0,306.07588235294116,306.07588235294116
17005,the,1.6626734733581543,306.07588235294116,7.87093448638916,0.7692527770996094,289.0482352941176,289.0482352941176
17006,River,17.830991744995117,289.0482352941176,11.037001609802246,0.0,,321.79058823529414
17008,there,13.02434253692627,346.30529411764707,8.804840087890625,0.5763740539550781,306.6311764705883,306.6311764705883
17009,is,2.341245651245117,306.6311764705883,4.669997215270996,4.134842872619629,281.77647058823527,281.77647058823527
17010,a,2.099515676498413,281.77647058823527,6.831155300140381,0.0,258.03647058823526,258.03647058823526
17011,quiet,10.690210342407228,258.03647058823526,10.346101760864258,0.0,298.04352941176467,298.04352941176467
17012,little,11.689720153808594,298.04352941176467,10.95159149169922,0.0,292.3229411764706,292.3229411764706
17013,suburb,13.163521766662598,292.3229411764706,11.064837455749512,0.0,335.39294117647063,335.39294117647063
17014,by,7.506709575653076,335.39294117647063,3.454224109649658,7.610613346099853,262.9494117647059,262.9494117647059
17015,the,1.7976386547088623,262.9494117647059,8.37455940246582,0.0,243.0141176470588,243.0141176470588
17016,name,11.023736953735352,243.0141176470588,11.124564170837402,0.0,244.76882352941175,244.76882352941175
17017,of,2.489831924438477,244.76882352941175,5.441444873809815,5.683119297027588,,306.2676470588235
17019,which,11.66736888885498,527.0388235294117,8.893893241882324,0.1137256622314453,324.44176470588235,324.44176470588235
17020,means,10.663047790527344,324.44176470588235,9.456927299499512,0.0,,321.3405882352941
17022,of,5.511377334594727,310.26529411764704,10.428020477294922,0.0,,487.5917647058823
17025,none,16.001657485961914,377.0558823529412,8.374571800231934,1.019611358642578,269.1035294117647,269.1035294117647
17026,of,2.160531044006348,269.1035294117647,4.813167095184326,3.5614047050476074,256.2182352941177,256.2182352941177
17027,the,1.6510562896728516,256.2182352941177,7.451969623565674,0.0,264.6788235294118,264.6788235294118
17028,residents,14.406627655029297,264.6788235294118,10.898690223693848,0.0,326.9576470588235,326.9576470588235
17029,realize,14.180843353271484,326.9576470588235,6.193317890167236,4.705372333526611,299.5382352941176,299.5382352941176
17030,the,2.3901350498199463,299.5382352941176,7.642464637756348,0.0,268.4082352941176,268.4082352941176
17031,influence,11.881874084472656,268.4082352941176,11.367462158203123,0.0,296.78470588235297,296.78470588235297
17032,their,11.86904525756836,296.78470588235297,6.2621002197265625,5.1053619384765625,296.24176470588236,296.24176470588236
17033,town,13.084811210632324,296.24176470588236,11.679082870483398,0.0,361.4358823529412,361.4358823529412
17034,has,7.337877750396728,361.4358823529412,6.605806350708008,5.073276519775391,266.3805882352941,266.3805882352941
17035,had,7.287591457366943,266.3805882352941,7.942057132720947,0.0,256.7835294117647,256.7835294117647
17036,on,7.618955135345459,256.7835294117647,9.27821159362793,0.0,285.1605882352941,285.1605882352941
17037,American,11.54800510406494,285.1605882352941,7.144397258758545,2.1338143348693848,348.18470588235294,348.18470588235294
17038,military,11.427464485168455,348.18470588235294,9.737676620483398,0.0,,302.5558823529412
17040,or,7.162635803222656,369.60823529411766,5.287583827972412,4.976719379425049,260.2647058823529,260.2647058823529
17041,the,3.7887465953826895,260.2647058823529,11.21800708770752,0.0,249.57823529411763,249.57823529411763
17042,deeds,18.69261360168457,249.57823529411763,11.30433464050293,0.0,290.52941176470586,290.52941176470586
17043,of,1.7230325937271118,290.52941176470586,5.061010360717773,6.243324279785156,,245.77705882352942
17045,that,7.819105625152588,270.42294117647054,8.644380569458008,0.2813968658447265,247.63823529411766,247.63823529411766
17046,have,6.882690906524658,247.63823529411766,9.403098106384276,0.0,271.3376470588235,271.3376470588235
17047,been,1.6772751808166504,271.3376470588235,7.0494256019592285,2.353672504425049,319.1605882352941,319.1605882352941
17048,done,8.810994148254395,319.1605882352941,10.455931663513184,0.0,281.86823529411765,281.86823529411765
17049,in,3.5437347888946533,281.86823529411765,4.016367435455322,6.439564228057861,245.44058823529411,245.44058823529411
17050,its,6.436832427978516,245.44058823529411,8.043609619140625,0.0,,239.4935294117647
17052,The,3.103843927383423,300.72764705882355,9.515584945678713,0.0,274.9164705882353,274.9164705882353
17053,cry,17.04175567626953,274.9164705882353,11.167587280273438,0.0,,493.40529411764703
17056,from,7.361648559570312,356.94529411764705,10.210860252380373,0.0522165298461914,273.3517647058824,273.3517647058824
17057,the,1.8385183811187744,273.3517647058824,8.30671501159668,1.9041452407836916,265.30176470588236,265.30176470588236
17058,lips,15.5247802734375,265.30176470588236,11.188040733337402,0.0,253.22411764705885,253.22411764705885
17059,of,0.0415348336100578,253.22411764705885,0.337814599275589,10.850226134061812,247.4129411764706,247.4129411764706
17060,a,4.091999530792236,247.4129411764706,8.708788871765137,0.0,307.34235294117644,307.34235294117644
17061,charging,17.48607635498047,307.34235294117644,10.819473266601562,0.0,,346.47941176470584
17064,was,8.304306030273438,291.204705882353,8.827384948730469,0.8656787872314453,274.834705882353,274.834705882353
17065,the,4.457789897918701,274.834705882353,9.764912605285645,0.0,243.74,243.74
17066,last,8.63395881652832,243.74,10.766449928283691,0.0,258.34352941176473,258.34352941176473
17067,sound,13.941466331481934,258.34352941176473,8.181925773620605,2.584524154663086,250.1764705882353,250.1764705882353
17068,heard,18.437721252441406,250.1764705882353,9.16323184967041,0.0,288.1482352941177,288.1482352941177
17069,on,5.239626884460449,288.1482352941177,6.21777868270874,2.94545316696167,274.4364705882353,274.4364705882353
17070,this,7.692483901977539,274.4364705882353,7.667385578155518,0.0,296.5311764705882,296.5311764705882
17071,earth,15.756973266601562,296.5311764705882,10.037650108337402,0.0,266.5064705882353,266.5064705882353
17072,by,8.291378021240234,266.5064705882353,4.554941177368164,5.482708930969238,288.9194117647059,288.9194117647059
17073,untold,18.54474258422852,288.9194117647059,8.542720794677734,0.0,324.6235294117647,324.6235294117647
17074,numbers,11.415345191955566,324.6235294117647,9.158723831176758,0.0,311.3388235294118,311.3388235294118
17075,of,5.486225128173828,311.3388235294118,3.8089115619659424,5.349812269210815,,288.5094117647059
17077,Sioux,18.121591567993164,500.07117647058817,8.029897689819336,1.146829605102539,363.69235294117647,363.69235294117647
17078,and,4.97519588470459,363.69235294117647,10.13562297821045,0.0,,378.90705882352944
17080,Mexican,16.038795471191406,377.6035294117647,7.661472797393799,2.929325580596924,,332.72235294117644
17082,under,11.546119689941406,419.49764705882353,4.328453063964844,6.59088134765625,,360.58176470588234
17085,Japanese,18.89505386352539,429.90588235294115,4.20202112197876,3.1651930809021,286.37176470588236,286.37176470588236
17086,in,5.878751754760742,286.37176470588236,9.59421443939209,0.0,268.2917647058824,268.2917647058824
17087,the,1.8764854669570925,268.2917647058824,7.902933120727539,1.6912813186645508,240.98352941176472,240.98352941176472
17088,South,9.24240779876709,240.98352941176472,10.09029483795166,0.0,,297.7752941176471
17090,and,3.945981740951538,359.81823529411764,5.946494102478027,3.678619384765625,412.8376470588235,412.8376470588235
17091,Chinese,13.279088973999023,412.8376470588235,10.353999137878418,0.0,286.32235294117646,286.32235294117646
17092,and,4.800612926483154,286.32235294117646,9.668353080749512,0.6856460571289062,321.4123529411765,321.4123529411765
17093,North,11.734904289245604,321.4123529411765,11.09303092956543,0.0,282.0876470588235,282.0876470588235
17094,Korean,9.275214195251465,282.0876470588235,10.41746425628662,0.6755666732788086,298.6858823529412,298.6858823529412
17095,Communists,17.344295501708984,298.6858823529412,10.782922744750977,0.0,309.43176470588236,309.43176470588236
17096,in,6.106496334075928,309.43176470588236,1.077824592590332,9.705098152160645,,355.46117647058827
17099,is,5.819437503814697,693.0405882352941,10.350439071655272,0.0,330.0094117647059,330.0094117647059
17100,the,3.6319971084594727,330.0094117647059,9.233609199523926,1.1168298721313477,300.55999999999995,300.55999999999995
17101,battle,12.089449882507324,300.55999999999995,10.953680992126465,0.0,276.0141176470588,276.0141176470588
17102,cry,18.018632888793945,276.0141176470588,6.107241630554199,4.846439361572266,275.82705882352946,275.82705882352946
17103,of,9.189542770385742,275.82705882352946,4.279616832733154,1.827624797821045,269.52235294117645,269.52235294117645
17104,the,2.3941903114318848,269.52235294117645,9.101553916931152,0.0,,279.05294117647054
17106,U.S.,10.061403274536133,282.47764705882355,9.76541233062744,1.4394550323486328,,302.83588235294116
17112,Today,19.301353454589844,355.5176470588235,5.842750072479248,0.4798893928527832,274.72235294117644,274.72235294117644
17113,a,9.023029327392578,274.72235294117644,3.742025375366211,2.100724697113037,409.4364705882353,409.4364705882353
17114,battle,12.423579216003418,409.4364705882353,9.507718086242676,0.0,303.1664705882353,303.1664705882353
17115,cry,18.3084659576416,303.1664705882353,5.541272640228272,3.966445446014404,291.48823529411766,291.48823529411766
17116,may,18.108436584472656,291.48823529411766,3.875476360321045,1.6657962799072266,293.77176470588233,293.77176470588233
17117,seem,9.69582462310791,293.77176470588233,6.075340747833252,0.0,273.80529411764707,273.80529411764707
17118,an,10.37607479095459,273.80529411764707,3.1644537448883057,2.9108870029449463,,716.7382352941177
17120,for,6.0584564208984375,509.60647058823525,9.62222957611084,1.4680519104003906,347.95411764705887,347.95411764705887
17121,in,10.158724784851074,347.95411764705887,9.089276313781738,0.5329532623291016,374.94588235294117,374.94588235294117
17122,the,2.059338092803955,374.94588235294117,8.437541007995605,0.6517353057861328,307.0135294117647,307.0135294117647
17123,modern,15.719156265258787,307.0135294117647,10.157933235168455,0.0,,288.2576470588235
17126,de,14.849239349365234,405.20411764705887,6.308233737945557,0.303804874420166,443.555294117647,443.555294117647
17127,corps,15.566020011901855,443.555294117647,9.101665496826172,0.0,321.2352941176471,321.2352941176471
17128,has,11.996438026428224,321.2352941176471,2.7692582607269287,6.332407236099243,442.2217647058824,442.2217647058824
17129,been,1.9662771224975584,442.2217647058824,7.663234710693359,0.0,,474.8864705882353
17131,to,4.166173934936523,306.2176470588235,4.2303972244262695,6.33173942565918,411.5629411764706,411.5629411764706
17132,organizational,17.66035270690918,411.5629411764706,9.822667121887209,0.0,388.88882352941175,388.88882352941175
17133,charts,15.887279510498049,388.88882352941175,11.125306129455566,0.0,305.5394117647059,305.5394117647059
17134,and,5.2487382888793945,305.5394117647059,2.220825672149658,8.904480457305908,,309.37529411764706
17136,But,4.942493915557861,269.3670588235294,9.515584945678713,0.0,,264.17176470588237
17138,tell,14.403790473937988,272.0070588235294,10.362588882446287,0.0,265.37,265.37
17139,that,2.908748149871826,265.37,6.610444068908691,3.7521448135375977,274.9235294117648,274.9235294117648
17140,to,7.883507251739502,274.9235294117648,8.03244686126709,0.0,274.10823529411766,274.10823529411766
17141,a,4.859838485717773,274.10823529411766,9.470136642456056,0.0,255.72235294117647,255.72235294117647
17142,veteran,12.424750328063965,255.72235294117647,11.118456840515137,0.0,275.01882352941175,275.01882352941175
17143,of,3.7151613235473633,275.01882352941175,8.953511238098145,2.164945602416992,236.71823529411765,236.71823529411765
17144,the,2.540099859237671,236.71823529411765,9.946781158447266,0.0,,255.56882352941176
17147,especially,14.21177101135254,364.96529411764703,10.066593170166016,0.1384868621826172,282.74764705882353,282.74764705882353
17148,in,5.898314476013184,282.74764705882353,10.552990913391112,0.0,275.9664705882353,275.9664705882353
17149,a,4.210881233215332,275.9664705882353,8.029059410095215,2.5239315032958984,,263.24411764705883
17151,on,8.168000221252441,315.30117647058825,10.47237491607666,0.3934011459350586,295.5076470588235,295.5076470588235
17152,Saturday,11.97929573059082,295.5076470588235,7.553020477294922,2.9193544387817383,,294.1123529411765
17154,Of,9.302190780639648,295.1135294117647,9.515584945678713,0.0,296.2964705882353,296.2964705882353
17155,all,7.380706787109375,296.2964705882353,6.85743522644043,2.658149719238281,279.1311764705883,279.1311764705883
17156,the,2.187154054641724,279.1311764705883,7.378998756408691,0.0,326.9429411764706,326.9429411764706
17157,thousands,13.43415641784668,326.9429411764706,11.323247909545898,0.0,279.2982352941176,279.2982352941176
17158,of,0.0564263649284839,279.2982352941176,0.4478801786899566,10.875367730855942,248.67000000000002,248.67000000000002
17159,men,11.750673294067385,248.67000000000002,9.120468139648438,0.0,270.3235294117647,270.3235294117647
17160,who,7.568376064300537,270.3235294117647,7.387080192565918,1.7333879470825195,279.4005882352941,279.4005882352941
17161,have,4.616750717163086,279.4005882352941,8.244471549987793,0.0,252.8435294117647,252.8435294117647
17162,served,9.586280822753906,252.8435294117647,8.618426322937012,0.0,267.59529411764703,267.59529411764703
17163,in,4.097523212432861,267.59529411764703,8.847914695739746,0.0,253.78294117647062,253.78294117647062
17164,the,1.932598352432251,253.78294117647062,7.801984786987305,1.0459299087524414,,261.47235294117644
17167,perhaps,14.101103782653809,343.65529411764703,8.794095039367676,0.4969749450683594,336.9476470588235,336.9476470588235
17168,no,11.415549278259276,336.9476470588235,9.505906105041504,0.0,263.09529411764703,263.09529411764703
17169,one,7.814486026763916,263.09529411764703,11.300687789916992,0.0,257.4294117647059,257.4294117647059
17170,knows,15.118928909301758,257.4294117647059,10.218117713928224,1.0825700759887695,300.85705882352937,300.85705882352937
17171,its,7.018801689147949,300.85705882352937,6.426366806030273,3.791750907897949,252.79823529411763,252.79823529411763
17172,spirit,15.753159523010254,252.79823529411763,11.197322845458984,0.0,289.1858823529412,289.1858823529412
17173,better,11.822897911071776,289.1858823529412,5.774778366088867,5.422544479370117,261.22117647058826,261.22117647058826
17174,than,2.76352334022522,261.22117647058826,5.473714828491211,0.3010635375976562,,332.26176470588234
17178,C.,16.962047576904297,507.6470588235294,6.552621364593506,0.8315443992614746,,460.6805882352941
17181,and,6.005070209503174,315.15647058823527,10.350439071655272,0.0,,397.89
17183,with,8.15206527709961,421.2011764705882,10.460479736328123,0.470494270324707,307.0476470588235,307.0476470588235
17184,steel,12.519002914428713,307.0476470588235,7.843105316162109,2.617374420166016,348.5464705882353,348.5464705882353
17185,blue,15.047067642211914,348.5464705882353,9.986572265625,0.0,346.834705882353,346.834705882353
17186,eyes,14.34052562713623,346.834705882353,10.482044219970703,0.0,285.05470588235295,285.05470588235295
17187,and,5.079412937164307,285.05470588235295,7.535294055938721,2.9467501640319824,310.4117647058824,310.4117647058824
17188,a,6.090017318725586,310.4117647058824,11.32866668701172,0.0,266.5735294117647,266.5735294117647
17189,chest,16.800682067871094,266.5735294117647,11.237568855285645,0.0910978317260742,,322.07588235294116
17191,with,6.188175201416016,336.08411764705886,9.3299560546875,0.0,,311.95705882352945
17193,Chandler,15.17442512512207,477.98470588235296,10.111597061157228,0.0,294.91058823529414,294.91058823529414
17194,is,5.657746315002441,294.91058823529414,6.60632848739624,3.5052685737609863,244.48,244.48
17195,the,3.7471766471862793,244.48,9.53443431854248,0.0,,304.89764705882357
17197,of,2.977672576904297,344.65647058823527,9.547606468200684,1.262002944946289,265.62529411764706,265.62529411764706
17198,the,1.8703718185424805,265.62529411764706,8.660959243774414,0.8866472244262695,,336.1905882352941
17201,The,3.103843927383423,268.8488235294118,9.515584945678713,0.0,276.8194117647059,276.8194117647059
17202,truth,12.636327743530272,276.8194117647059,11.167587280273438,0.0,,272.5423529411765
17205,that,7.30929708480835,310.7005882352941,10.093143463134766,0.0,285.2035294117647,285.2035294117647
17206,when,9.465583801269531,285.2035294117647,9.564200401306152,0.5289430618286133,251.26823529411763,251.26823529411763
17207,Mel,19.26156234741211,251.26823529411763,6.910407543182373,2.6537928581237797,293.81,293.81
17208,Chandler,13.57711124420166,293.81,8.952676773071289,0.0,331.5241176470588,331.5241176470588
17209,first,20.191123962402344,331.5241176470588,5.520196437835693,3.432480335235596,278.8552941176471,278.8552941176471
17210,reported,11.003432273864746,278.8552941176471,9.973130226135254,0.0,293.72235294117644,293.72235294117644
17211,to,6.491145133972168,293.72235294117644,6.771347999572754,3.2017822265625,281.915294117647,281.915294117647
17212,the,2.668501853942871,281.915294117647,8.829705238342285,0.0,,321.38941176470587
17214,the,9.62283706665039,271.86117647058825,10.650468826293944,0.2391738891601562,291.6058823529412,291.6058823529412
17215,only,8.786792755126953,291.6058823529412,10.774581909179688,0.0,,302.56529411764706
17217,he,12.408156394958496,411.5005882352941,10.56972599029541,0.2712001800537109,320.2841176470588,320.2841176470588
17218,had,4.655920505523682,320.2841176470588,8.166519165039062,2.403206825256348,301.9823529411765,301.9823529411765
17219,ever,9.368399620056152,301.9823529411765,8.060609817504883,0.1059093475341796,,278.2217647058824
17221,was,11.842571258544922,326.6594117647059,8.637003898620605,0.6693620681762695,270.39235294117645,270.39235294117645
17222,a,4.326417446136475,270.39235294117645,9.88239288330078,0.0,,288.40764705882356
17224,chair,14.807475090026855,311.00529411764705,9.408556938171388,0.8615989685058594,329.91,329.91
17225,and,6.093591690063477,329.91,4.708684921264648,4.699872016906738,332.91823529411766,332.91823529411766
17226,the,3.5070841312408447,332.91823529411766,10.711962699890137,0.0,295.0,295.0
17227,only,8.189713478088379,295.0,11.28353786468506,0.0,281.7664705882353,281.7664705882353
17228,weapon,14.424991607666016,281.7664705882353,11.333181381225586,0.0,269.33411764705886,269.33411764705886
17229,he,10.150514602661133,269.33411764705886,3.88502836227417,7.448153018951416,241.23941176470586,241.23941176470586
17230,had,4.833022594451904,241.23941176470586,8.304411888122559,0.0,274.8264705882353,274.8264705882353
17231,ever,8.914067268371582,274.8264705882353,8.274748802185059,0.0296630859375,,293.9223529411765
17233,was,12.519458770751951,272.37,7.307732582092285,1.776346206665039,271.2535294117647,271.2535294117647
17234,a,4.382434844970703,271.2535294117647,9.778119087219238,0.0,,337.73
17236,Chandler,13.14741325378418,283.47235294117644,9.515584945678713,0.0,324.8241176470588,324.8241176470588
17237,had,6.5118727684021,324.8241176470588,6.315782070159912,3.199802875518799,267.46352941176474,267.46352941176474
17238,been,2.742809772491455,267.46352941176474,8.257553100585938,0.0,418.04470588235296,418.04470588235296
17239,commissioned,14.346837043762209,418.04470588235296,10.611013412475586,0.0,319.58411764705886,319.58411764705886
17240,in,3.392417907714844,319.58411764705886,4.034483432769775,6.5765299797058105,254.70823529411766,254.70823529411766
17241,the,2.0953574180603027,254.70823529411766,8.2641019821167,0.0,300.0335294117647,300.0335294117647
17242,Medical,15.80159854888916,300.0335294117647,10.021305084228516,0.0,293.2188235294118,293.2188235294118
17243,Service,8.816030502319336,293.2188235294118,7.790920257568359,2.230384826660156,280.1382352941177,280.1382352941177
17244,Corps,14.060483932495115,280.1382352941177,7.25437068939209,0.5365495681762695,275.54352941176467,275.54352941176467
17245,and,4.991920471191406,275.54352941176467,5.055612087249756,2.198758602142334,254.66117647058823,254.66117647058823
17246,was,8.184857368469238,254.66117647058823,10.553345680236816,0.0,275.52764705882356,275.52764705882356
17247,serving,13.622138023376465,275.52764705882356,9.90625,0.6470956802368164,247.2435294117647,247.2435294117647
17248,as,7.423658847808838,247.2435294117647,8.263456344604492,1.6427936553955078,248.36058823529413,248.36058823529413
17249,a,3.032235145568848,248.36058823529413,7.618866443634033,0.644589900970459,350.8,350.8
17250,personnel,14.780820846557615,350.8,11.067580223083496,0.0,316.9235294117647,316.9235294117647
17251,officer,11.631285667419434,316.9235294117647,9.427021026611328,1.640559196472168,275.57176470588234,275.57176470588234
17252,for,4.861672878265381,275.57176470588234,4.413878917694092,5.013142108917236,273.5,273.5
17253,the,2.192662239074707,273.5,9.441119194030762,0.0,289.6329411764706,289.6329411764706
17254,Kansas,14.215654373168944,289.6329411764706,10.971965789794922,0.0,438.6117647058823,438.6117647058823
17255,City,8.509401321411133,438.6117647058823,9.355052947998049,1.616912841796875,283.96999999999997,283.96999999999997
17256,Medical,12.575949668884276,283.96999999999997,7.398126602172852,1.9569263458251955,297.40176470588233,297.40176470588233
17257,Depot,17.005279541015625,297.40176470588233,7.156786918640137,0.2413396835327148,328.5641176470588,328.5641176470588
17258,when,11.161561012268066,328.5641176470588,5.311746597290039,1.8450403213500977,298.4852941176471,298.4852941176471
17259,he,4.4961419105529785,298.4852941176471,6.225955486297607,0.0,310.97705882352943,310.97705882352943
17260,decided,8.973770141601562,310.97705882352943,7.396196365356445,0.0,332.52176470588233,332.52176470588233
17261,that,4.893224239349365,332.52176470588233,5.371572017669678,2.024624347686768,268.0811764705882,268.0811764705882
17262,if,8.151482582092285,268.0811764705882,8.242327690124512,0.0,285.79352941176467,285.79352941176467
17263,he,4.381669998168945,285.79352941176467,6.552967071533203,1.6893606185913086,253.43411764705883,253.43411764705883
17264,was,4.078888893127441,253.43411764705883,7.2963056564331055,0.0,256.4052941176471,256.4052941176471
17265,going,9.245511054992676,256.4052941176471,9.309239387512209,0.0,251.55,251.55
17266,to,0.3007182776927948,251.55,1.7152514457702637,7.593987941741943,245.12176470588233,245.12176470588233
17267,make,5.922854900360107,245.12176470588233,8.438212394714355,0.0,285.285294117647,285.285294117647
17268,the,2.5223639011383057,285.285294117647,8.6801176071167,0.0,351.4294117647059,351.4294117647059
17269,Army,12.82431697845459,351.4294117647059,11.12142276763916,0.0,265.63352941176475,265.63352941176475
17270,his,14.641095161437988,265.63352941176475,7.566915988922119,3.554506778717041,,258.24529411764706
17272,he,12.298826217651367,320.3458823529412,10.33110809326172,1.3015727996826172,264.25470588235294,264.25470588235294
17273,wanted,8.47881031036377,264.25470588235294,8.34562873840332,1.9854793548583984,235.0629411764706,235.0629411764706
17274,to,1.360261082649231,235.0629411764706,4.383548259735107,3.962080478668213,263.3076470588235,263.3076470588235
17275,be,3.845541000366211,263.3076470588235,9.316061973571776,0.0,284.4858823529412,284.4858823529412
17276,in,6.339676856994629,284.4858823529412,10.272934913635254,0.0,264.21235294117645,264.21235294117645
17277,the,1.955882787704468,264.21235294117645,8.093234062194824,2.1797008514404297,306.8547058823529,306.8547058823529
17278,fighting,17.388473510742188,306.8547058823529,10.062535285949709,0.0,268.96294117647057,268.96294117647057
17279,part,9.44485855102539,268.96294117647057,10.522849082946776,0.0,239.14176470588234,239.14176470588234
17280,of,1.7564071416854858,239.14176470588234,3.4119696617126465,7.110879421234131,,241.98235294117646
17282,Though,10.180797576904297,247.70294117647057,9.515584945678713,0.0,279.3947058823529,279.3947058823529
17283,he,5.237964153289795,279.3947058823529,6.479185581207275,3.0363993644714355,309.79352941176467,309.79352941176467
17284,knew,10.556951522827148,309.79352941176467,7.030292510986328,0.0,273.94176470588235,273.94176470588235
17285,no,8.234356880187988,273.94176470588235,6.207807540893555,0.8224849700927734,240.1770588235294,240.1770588235294
17286,more,7.386693954467773,240.1770588235294,11.080924987792969,0.0,235.97823529411767,235.97823529411767
17287,about,9.073887825012209,235.97823529411767,9.965875625610352,1.1150493621826172,277.5670588235294,277.5670588235294
17288,military,12.159000396728516,277.5670588235294,7.91071891784668,2.055156707763672,269.0523529411765,269.0523529411765
17289,science,13.170841217041016,269.0523529411765,9.78799057006836,0.0,280.48117647058825,280.48117647058825
17290,and,4.149301528930664,280.48117647058825,7.674722194671631,2.1132683753967285,289.2758823529412,289.2758823529412
